country,sex,year,industry
bel,mf,2005,24.799999237060547
bel,m,2005,35.20000076293945
bel,f,2005,11.399999618530273
bel,mf,2006,24.799999237060547
bel,m,2006,35.79999923706055
bel,f,2006,10.800000190734863
bel,mf,2007,24.5
bel,m,2007,35.20000076293945
bel,f,2007,11.100000381469727
bel,mf,2008,24.700000762939453
bel,m,2008,36.400001525878906
bel,f,2008,10.300000190734863
bel,mf,2009,23.600000381469727
bel,m,2009,34.900001525878906
bel,f,2009,9.800000190734863
bel,mf,2010,23.5
bel,m,2010,34.599998474121094
bel,f,2010,10.100000381469727
bel,mf,2011,23.299999237060547
bel,m,2011,34.70000076293945
bel,f,2011,9.699999809265137
bel,mf,2012,21.799999237060547
bel,m,2012,32.900001525878906
bel,f,2012,8.699999809265137
bel,mf,2013,21.799999237060547
bel,m,2013,33.099998474121094
bel,f,2013,8.600000381469727
bel,mf,2014,21.5
bel,m,2014,33.0
bel,f,2014,8.300000190734863
blz,mf,1993,20.200000762939453
blz,m,1993,23.299999237060547
blz,f,1993,13.199999809265137
blz,mf,1994,19.299999237060547
blz,m,1994,22.600000381469727
blz,f,1994,11.899999618530273
blz,mf,1995,17.799999237060547
blz,m,1995,21.5
blz,f,1995,9.300000190734863
blz,mf,1996,17.0
blz,m,1996,19.700000762939453
blz,f,1996,10.300000190734863
blz,mf,1997,18.200000762939453
blz,m,1997,19.600000381469727
blz,f,1997,15.199999809265137
blz,mf,1998,18.0
blz,m,1998,21.299999237060547
blz,f,1998,10.899999618530273
blz,mf,1999,17.0
blz,m,1999,19.299999237060547
blz,f,1999,11.899999618530273
blz,mf,2004,16.0
blz,mf,2005,17.899999618530273
blz,m,2005,21.799999237060547
blz,f,2005,10.300000190734863
ben,mf,2003,9.5
ben,m,2003,9.800000190734863
ben,f,2003,9.199999809265137
ben,mf,2010,10.399999618530273
ben,m,2010,14.0
ben,f,2010,7.199999809265137
bmu,mf,2000,14.800000190734863
bmu,m,2000,25.299999237060547
bmu,f,2000,3.700000047683716
bmu,mf,2001,11.699999809265137
bmu,m,2001,19.600000381469727
bmu,f,2001,3.299999952316284
bmu,mf,2002,11.699999809265137
bmu,m,2002,19.700000762939453
bmu,f,2002,3.4000000953674316
bmu,mf,2003,11.699999809265137
bmu,m,2003,19.700000762939453
bmu,f,2003,3.200000047683716
bmu,mf,2004,12.100000381469727
bmu,m,2004,20.5
bmu,f,2004,3.0999999046325684
bmu,mf,2009,13.199999809265137
bmu,m,2009,23.5
bmu,f,2009,3.200000047683716
bmu,mf,2010,12.899999618530273
bmu,m,2010,22.600000381469727
bmu,f,2010,3.200000047683716
bmu,mf,2011,10.0
bmu,m,2011,17.200000762939453
bmu,f,2011,2.5999999046325684
bmu,mf,2012,9.600000381469727
bmu,m,2012,16.5
bmu,f,2012,2.5999999046325684
bmu,mf,2013,10.300000190734863
btn,mf,2003,2.700000047683716
btn,m,2003,4.099999904632568
btn,f,2003,1.2999999523162842
btn,mf,2005,17.200000762939453
btn,m,2005,23.700000762939453
btn,f,2005,5.800000190734863
btn,mf,2006,7.599999904632568
btn,m,2006,9.100000381469727
btn,f,2006,5.599999904632568
btn,mf,2009,6.400000095367432
btn,m,2009,4.0
btn,f,2009,9.100000381469727
btn,mf,2010,6.699999809265137
btn,m,2010,6.800000190734863
btn,f,2010,6.699999809265137
btn,mf,2011,9.199999809265137
btn,m,2011,9.800000190734863
btn,f,2011,8.5
btn,mf,2012,8.600000381469727
btn,m,2012,10.199999809265137
btn,f,2012,7.199999809265137
btn,mf,2013,11.0
btn,m,2013,11.600000381469727
btn,f,2013,10.199999809265137
bol,mf,1980,20.600000381469727
bol,m,1980,21.200000762939453
bol,f,1980,18.799999237060547
bol,mf,1981,19.700000762939453
bol,m,1981,20.200000762939453
bol,f,1981,18.299999237060547
bol,mf,1982,17.299999237060547
bol,m,1982,17.700000762939453
bol,f,1982,16.0
bol,mf,1983,17.399999618530273
bol,m,1983,17.899999618530273
bol,f,1983,15.899999618530273
bol,mf,1984,16.799999237060547
bol,m,1984,17.299999237060547
bol,f,1984,15.300000190734863
bol,mf,1985,16.0
bol,m,1985,16.299999237060547
bol,f,1985,15.100000381469727
bol,mf,1986,12.699999809265137
bol,m,1986,12.899999618530273
bol,f,1986,12.0
bol,mf,1987,12.800000190734863
bol,m,1987,13.100000381469727
bol,f,1987,12.0
bol,mf,1988,12.800000190734863
bol,m,1988,13.100000381469727
bol,f,1988,12.100000381469727
bol,mf,1989,24.700000762939453
bol,m,1989,34.20000076293945
bol,f,1989,11.800000190734863
