country,sex,year,not_adequately_defined_000
bhs,m,2008,0.5299999713897705
bhs,f,2008,0.25999999046325684
bhs,mf,2009,0.5799999833106995
bhs,m,2009,0.36500000953674316
bhs,f,2009,0.2150000035762787
bhs,mf,2011,0.6949999928474426
bhs,m,2011,0.38999998569488525
bhs,f,2011,0.3050000071525574
bhr,mf,1981,2.200000047683716
bhr,m,1981,2.0999999046325684
bhr,f,1981,0.20000000298023224
bhr,mf,1982,2.200000047683716
bhr,m,1982,2.0
bhr,f,1982,0.20000000298023224
bhr,mf,2001,5.427000045776367
bhr,m,2001,5.1479997634887695
bhr,f,2001,0.27900001406669617
bhr,mf,2010,8.942000389099121
bhr,m,2010,7.144999980926514
bhr,f,2010,1.7970000505447388
bgd,mf,1984,1671.0
bgd,m,1984,534.0
bgd,f,1984,1137.0
bgd,mf,1985,1402.0
bgd,m,1985,288.0
bgd,f,1985,1114.0
bgd,mf,1986,1209.0
bgd,m,1986,58.0
bgd,f,1986,1152.0
bgd,mf,1989,2390.0
bgd,m,1989,1436.0
bgd,f,1989,953.0
bgd,mf,1991,2249.0
bgd,m,1991,1411.0
bgd,f,1991,838.0
bgd,mf,1996,1168.0
bgd,m,1996,373.0
bgd,f,1996,795.0
bgd,mf,2000,2126.0
bgd,m,2000,1744.0
bgd,f,2000,384.0
brb,mf,1989,9.899999618530273
brb,m,1989,4.400000095367432
brb,f,1989,5.599999904632568
brb,mf,1990,10.399999618530273
brb,m,1990,4.800000190734863
brb,f,1990,5.599999904632568
brb,mf,1991,8.899999618530273
brb,m,1991,4.300000190734863
brb,f,1991,4.599999904632568
brb,mf,1992,9.5
brb,m,1992,4.699999809265137
brb,f,1992,4.800000190734863
brb,mf,1993,9.300000190734863
brb,m,1993,4.300000190734863
brb,f,1993,5.0
brb,mf,1994,11.100000381469727
brb,m,1994,5.5
brb,f,1994,5.599999904632568
brb,mf,1995,11.899999618530273
brb,m,1995,5.400000095367432
brb,f,1995,6.5
brb,mf,1996,14.399999618530273
brb,m,1996,6.400000095367432
brb,f,1996,8.0
brb,mf,1997,12.300000190734863
brb,m,1997,5.900000095367432
brb,f,1997,6.5
brb,mf,1998,14.0
brb,m,1998,6.300000190734863
brb,f,1998,7.699999809265137
brb,mf,1999,12.5
brb,m,1999,5.400000095367432
brb,f,1999,7.099999904632568
brb,mf,2000,14.600000381469727
brb,m,2000,6.300000190734863
brb,f,2000,8.300000190734863
brb,mf,2001,13.899999618530273
brb,m,2001,5.800000190734863
brb,f,2001,8.199999809265137
brb,mf,2002,14.199999809265137
brb,m,2002,6.300000190734863
brb,f,2002,7.900000095367432
brb,mf,2003,14.0
brb,m,2003,6.300000190734863
brb,f,2003,7.699999809265137
brb,mf,2004,12.199999809265137
brb,m,2004,5.0
brb,f,2004,7.199999809265137
brb,mf,2010,0.125
brb,m,2010,0.07500000298023224
brb,f,2010,0.02500000037252903
brb,mf,2011,0.20000000298023224
blr,mf,1987,177.5
blr,mf,1988,189.0
blr,mf,1989,196.89999389648438
blr,mf,1990,195.1999969482422
blr,mf,1991,247.8000030517578
blr,mf,1992,202.3000030517578
blr,mf,1993,186.89999389648438
blr,mf,1994,183.89999389648438
blr,mf,2009,274.3689880371094
blr,m,2009,143.96400451660156
blr,f,2009,130.40499877929688
bel,mf,1988,34.20000076293945
bel,m,1988,11.800000190734863
bel,f,1988,22.399999618530273
bel,mf,1989,32.70000076293945
bel,m,1989,7.5
bel,f,1989,25.200000762939453
bel,mf,1990,29.100000381469727
bel,m,1990,8.300000190734863
bel,f,1990,20.799999237060547
bel,mf,1991,29.700000762939453
bel,m,1991,8.699999809265137
bel,f,1991,21.0
blz,mf,2004,0.36800000071525574
blz,mf,2005,0.1459999978542328
blz,m,2005,0.08799999952316284
blz,f,2005,0.057999998331069946
ben,mf,2003,41.970001220703125
ben,m,2003,34.249000549316406
ben,f,2003,7.7210001945495605
ben,mf,2010,10.456000328063965
ben,m,2010,7.336999893188477
ben,f,2010,3.11899995803833
bmu,mf,2000,3.257999897003174
bmu,m,2000,1.4199999570846558
bmu,f,2000,1.8380000591278076
bmu,mf,2013,0.15399999916553497
bol,mf,1989,1.090000033378601
bol,m,1989,0.7099999785423279
bol,f,1989,0.3799999952316284
bol,mf,1990,3.4700000286102295
bol,m,1990,2.25
bol,f,1990,1.2200000286102295
bol,mf,1991,0.05999999865889549
bol,m,1991,0.03999999910593033
bol,f,1991,0.019999999552965164
bol,mf,1992,0.7300000190734863
bol,m,1992,0.7300000190734863
bol,f,1992,0.0
bol,mf,1993,0.0
bol,m,1993,0.0
bol,f,1993,0.0
bol,mf,1994,0.0
bol,m,1994,0.0
bol,f,1994,0.0
bol,mf,1995,0.7900000214576721
bol,m,1995,0.7900000214576721
bol,f,1995,0.0
bol,mf,1996,0.0
bol,m,1996,0.0
bol,f,1996,0.0
bol,mf,1997,0.0
bol,m,1997,0.0
bol,f,1997,0.0
bol,mf,2001,0.38600000739097595
bol,m,2001,0.03099999949336052
bol,f,2001,0.35499998927116394
bol,mf,2008,2.871000051498413
bol,m,2008,0.6940000057220459
bol,f,2008,2.177000045776367
bol,mf,2009,2.8350000381469727
bwa,mf,1985,0.06400000303983688
