country,sex,year,industry_000
blz,f,1993,2.569999933242798
blz,mf,1994,12.074999809265137
blz,m,1994,9.824999809265137
blz,f,1994,2.25
blz,mf,1995,11.145000457763672
blz,m,1995,9.390000343322754
blz,f,1995,1.7549999952316284
blz,mf,1996,11.029999732971191
blz,m,1996,9.085000038146973
blz,f,1996,1.9450000524520874
blz,mf,1997,12.895000457763672
blz,m,1997,9.649999618530273
blz,f,1997,3.244999885559082
blz,mf,1998,13.1850004196167
blz,m,1998,10.65999984741211
blz,f,1998,2.5250000953674316
blz,mf,1999,13.210000038146973
blz,m,1999,10.345000267028809
blz,f,1999,2.865000009536743
blz,mf,2004,15.369999885559082
blz,mf,2005,17.604000091552734
blz,m,2005,14.123000144958496
blz,f,2005,3.4800000190734863
ben,mf,2003,255.95799255371094
ben,m,2003,129.302001953125
ben,f,2003,126.55599975585938
ben,mf,2010,229.4429931640625
ben,m,2010,145.5850067138672
ben,f,2010,83.85900115966797
bmu,mf,2000,5.464000225067139
bmu,m,2000,4.808000087738037
bmu,f,2000,0.656000018119812
bmu,mf,2001,4.389999866485596
bmu,m,2001,3.7860000133514404
bmu,f,2001,0.6039999723434448
bmu,mf,2002,4.435999870300293
bmu,m,2002,3.818000078201294
bmu,f,2002,0.6179999709129333
bmu,mf,2003,4.427000045776367
bmu,m,2003,3.8450000286102295
bmu,f,2003,0.5820000171661377
bmu,mf,2004,4.646999835968018
bmu,m,2004,4.078000068664551
bmu,f,2004,0.5690000057220459
bmu,mf,2009,4.660999774932861
bmu,m,2009,4.0879998207092285
bmu,f,2009,0.5730000138282776
bmu,mf,2010,4.751999855041504
bmu,m,2010,4.163000106811523
bmu,f,2010,0.5889999866485596
bmu,mf,2011,3.7330000400543213
bmu,m,2011,3.253999948501587
bmu,f,2011,0.4790000021457672
bmu,mf,2012,3.3970000743865967
bmu,m,2012,2.937000036239624
bmu,f,2012,0.46000000834465027
bmu,mf,2013,3.7070000171661377
btn,mf,2003,6.763999938964844
btn,m,2003,5.15500020980835
btn,f,2003,1.6080000400543213
btn,mf,2005,42.7239990234375
btn,m,2005,37.487998962402344
btn,f,2005,5.236000061035156
btn,mf,2006,16.799999237060547
btn,m,2006,11.399999618530273
btn,f,2006,5.400000095367432
btn,mf,2009,20.113000869750977
btn,m,2009,6.495999813079834
btn,f,2009,13.612000465393066
btn,mf,2010,21.600000381469727
btn,m,2010,11.199999809265137
btn,f,2010,10.399999618530273
btn,mf,2011,29.799999237060547
btn,m,2011,16.700000762939453
btn,f,2011,13.100000381469727
btn,mf,2012,28.489999771118164
btn,m,2012,16.44300079345703
btn,f,2012,12.04699993133545
btn,mf,2013,36.80500030517578
btn,m,2013,21.2189998626709
btn,f,2013,15.585000038146973
bol,mf,1980,354.29998779296875
bol,m,1980,278.5
bol,f,1980,75.80000305175781
bol,mf,1981,332.6000061035156
bol,m,1981,258.6000061035156
bol,f,1981,73.9000015258789
bol,mf,1982,295.3999938964844
bol,m,1982,226.8000030517578
bol,f,1982,68.5999984741211
bol,mf,1983,292.29998779296875
bol,m,1983,224.6999969482422
bol,f,1983,67.4000015258789
bol,mf,1984,286.0
bol,m,1984,219.10000610351562
bol,f,1984,66.80000305175781
bol,mf,1985,270.1000061035156
