country,sex,year,not_adequately_defined
vgb,f,1991,0.5
vgb,mf,2009,1.0
vgb,mf,2010,1.0
brn,mf,1991,0.10000000149011612
brn,m,1991,0.10000000149011612
brn,f,1991,0.0
brn,mf,2001,
brn,m,2001,
brn,f,2001,
brn,mf,2014,
brn,m,2014,
brn,f,2014,
bgr,mf,1980,
bgr,mf,1981,
bgr,mf,1982,
bgr,mf,1983,
bgr,mf,1984,
bgr,mf,1985,
bgr,mf,1986,
bgr,mf,1987,
bgr,mf,1988,
bgr,mf,1989,
bgr,mf,1990,
bgr,mf,1991,
bgr,mf,1992,
bgr,mf,1993,
bgr,mf,1994,
bgr,mf,1995,
bgr,mf,1996,
bgr,mf,2000,0.5
bgr,m,2000,0.6000000238418579
bgr,f,2000,0.5
bgr,mf,2001,
bgr,m,2001,
bgr,f,2001,
bgr,mf,2002,
bgr,m,2002,
bgr,f,2002,
bgr,mf,2003,
bgr,m,2003,
